Country,Score
AFG,5
ALB,1.5
DZA,2.8
ASM,1
AND,1
AGO,2.2
AIA,1
ATG,1
ARG,1.3
ARM,2
ABW,1
AUS,1.3
AUT,1.8
AZE,2
BHS,1.8
BHR,2.5
BGD,2.7
BRB,1.7
BLR,1
BEL,2.2
BLZ,2.2
BEN,2.5
BMU,1
BTN,1
BOL,2.4
BIH,1.8
BWA,1
BRA,2.2
BRN,1
BGR,1
BFA,3.5
BDI,4.7
CPV,2
KHM,1.8
CMR,2.3
CAN,1
CYM,1
CAF,4.9
TCD,3.6
CHL,1.3
CHN,2.3
CXR,1
CCK,1
COL,2.2
COM,2.3
COD,3.8
COG,2.2
COK,1
CRI,2
CIV,2.4
HRV,1
CUB,2.3
CYP,1
CZE,1
DNK,1.5
DJI,2.4
DMA,2
DOM,2.3
ECU,2.6
EGY,2.9
SLV,2.6
GNQ,2
ERI,3.4
EST,1
SWZ,2
ETH,2.9
FLK,1
FRO,1
FJI,1.3
FIN,1
FRA,2.6
GUF,2
PYF,1
GAB,2.3
GMB,2.2
GEO,2
DEU,1.5
GHA,2.3
GIB,1
GRC,1.5
GRL,1
GRD,1
GLP,1
GUM,1
GTM,2.6
GGY,1
GIN,2.7
GNB,3.3
GUY,2.3
HTI,4
VAT,0
HND,2.7
HKG,1.7
HUN,1
ISL,1
IND,2.7
IDN,2.6
IRN,3.3
IRQ,4.6
IRL,1.5
IMN,1
ISR,3
ITA,1.5
JAM,2.4
JPN,2
JEY,1
JOR,2.4
KAZ,2
KEN,2.6
KIR,1
PRK,4.3
KOR,1.8
KWT,2.4
KGZ,2
LAO,1.8
LVA,1
LBN,3.2
LSO,2
LBR,2.4
LBY,5
LIE,1
LTU,1
LUX,1
MAC,1
MDG,2.5
MWI,2
MYS,1.8
MDV,2.5
MLI,4.6
MLT,1
MHL,1.5
MTQ,1
MRT,3.9
MUS,1
MYT,2
MEX,2.4
FSM,1
MDA,1
MCO,1
MNG,1
MNE,1
MSR,1
MAR,2.5
MOZ,2.2
MMR,2.2
NAM,2
NPL,2.2
NLD,1.8
NCL,1.5
NZL,1
NIC,3.5
NER,3.5
NGA,3.1
NIU,1
NFK,1
MKD,1
MNP,1
NOR,1.3
OMN,1.8
PAK,3.6
PLW,1
PSE,3.3
PAN,1.8
PNG,2.6
PRY,2
PER,2.2
PHL,2.6
PCN,1
POL,1
PRT,1
PRI,1
QAT,2
REU,1.7
ROU,1
RUS,2
RWA,2
BLM,1
SHN,1
KNA,1
LCA,1.3
MAF,1
SPM,1
VCT,1.3
WSM,1.7
SMR,1
STP,1.7
SAU,2.5
SEN,2.2
SRB,1
SYC,1
SLE,2.4
SGP,1
SVK,1
SVN,1
SLB,1
SOM,5
ZAF,2.6
ESP,1.5
LKA,4.1
SDN,4
SUR,2
SJM,0
SWE,1.3
CHE,1
SYR,5
TWN,1
TJK,2
TZA,2.4
THA,2.3
TLS,2
TGO,2
TON,1
TTO,2.2
TUN,2.6
TUR,3.1
TKM,2
TCA,1.3
TUV,1
UGA,2.6
UKR,2.9
ARE,2.4
GBR,1.8
USA,1.3
URY,1
UZB,1.8
VUT,1.5
VEN,4.4
VNM,1.5
VGB,1
VIR,1
WLF,0
ESH,1
YEM,5
ZMB,2
ZWE,2.6
